post_id,post_type,platform,category,likes,shares,comments,views,engagement_rate,region,language,festival_relevance,festival_season,relevant_festivals,timestamp,month,day_of_week,ad_spend,age_group,gender
22,reel,Instagram,Social Issues,4332,193,201,7516,0.04,Rural Maharashtra West,Telugu,No,Medium,"Holi, Maha Shivaratri",2024-03-27 13:54:57,March,Wednesday,2964.14,45-54,Female
23,video,YouTube,Entertainment,631,336,61,2277,0.06,Rural NCR,Bhojpuri,No,Medium,"Holi, Maha Shivaratri",2024-03-02 21:21:45,March,Saturday,3538.54,35-44,Female
24,video,Instagram,Social Issues,4456,288,345,5050,0.08,Rural Tamil Nadu South,Malayalam,Yes,High,"Diwali, Bhai Dooj",2024-11-03 14:45:13,November,Sunday,336.57,55+,Other
25,static_image,YouTube,Politics,897,829,7,1294,0.19,Rural Maharashtra West,Telugu,No,Low,"Christmas, New Year's Eve",2024-12-14 03:44:28,December,Saturday,3735.52,35-44,Female
26,video,YouTube,Social Issues,2810,127,250,1485,0.16,Hyderabad Urban,Punjabi,Yes,Medium,"Holi, Maha Shivaratri",2024-03-05 08:36:04,March,Tuesday,3550.84,45-54,Male
27,video,YouTube,Technology,1476,610,99,9296,0.15,Kolkata Urban,Malayalam,No,Low,Ganesh Chaturthi,2024-09-29 15:12:53,September,Sunday,884.56,45-54,Female
28,reel,Facebook,Movies,2572,1213,219,6831,0.28,Kolkata Urban,Marathi,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-01 05:16:35,August,Thursday,4459.27,45-54,Other
29,video,YouTube,Entertainment,5383,1476,303,1321,0.02,Bengaluru Urban,Odia,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-21 13:03:46,October,Monday,3609.58,18-24,Female
30,static_image,YouTube,Social Issues,2503,724,448,9555,0.16,Rural Tamil Nadu South,Telugu,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-02 03:49:47,May,Thursday,188.2,25-34,Other
31,video,Facebook,Fashion,3691,31,125,7649,0.21,Rural Tamil Nadu North,Bhojpuri,No,Low,Rath Yatra,2024-06-18 12:44:39,June,Tuesday,4261.58,45-54,Other
32,video,Facebook,Technology,2581,772,270,3272,0.27,Chennai Suburban,Malayalam,No,Low,Eid al-Adha,2024-07-27 23:21:14,July,Saturday,4975.64,25-34,Male
33,video,YouTube,Entertainment,1997,43,89,5721,0.14,Rural UP West,Marathi,No,Low,Eid al-Adha,2024-07-20 12:45:31,July,Saturday,2544.59,18-24,Female
34,carousel,Instagram,Health,3886,64,195,4504,0.34,Rural Karnataka North,Gujarati,No,Medium,"Baisakhi, Ram Navami",2024-04-09 10:35:01,April,Tuesday,2147.24,55+,Male
35,reel,Instagram,Fashion,187,583,272,6578,0.23,Rural Tamil Nadu North,Marathi,No,Medium,"Baisakhi, Ram Navami",2024-04-19 15:29:47,April,Friday,1931.74,35-44,Male
36,video,Facebook,Finance,183,888,490,752,0.29,Rural Tamil Nadu South,Gujarati,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-07 04:47:22,May,Tuesday,4309.15,35-44,Male
37,carousel,Facebook,Entertainment,1618,487,74,7490,0.15,Rural NCR,Kannada,No,Medium,"Baisakhi, Ram Navami",2024-04-20 04:12:08,April,Saturday,1687.87,45-54,Other
38,video,Instagram,Education,1762,688,312,5479,0.18,Rural Maharashtra North,Gujarati,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-04 18:43:16,May,Saturday,4016.61,45-54,Other
39,video,YouTube,Travel,6571,544,96,12066,0.44,Chennai Suburban,English,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-17 11:23:51,October,Thursday,593.52,45-54,Male
40,reel,Facebook,Social Issues,60,162,9,5138,0.16,Mumbai Urban,Gujarati,No,Medium,"Holi, Maha Shivaratri",2024-03-13 09:10:05,March,Wednesday,3926.7,25-34,Female
41,video,YouTube,Finance,1058,295,184,7900,0.14,Bengaluru Urban,Gujarati,No,Low,Vasant Panchami,2024-02-17 23:17:26,February,Saturday,4011.25,25-34,Other
42,reel,Instagram,Sports,184,16,291,4980,0.35,Mumbai Urban,Bengali,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-21 04:31:34,August,Wednesday,3910.18,18-24,Female
43,video,Facebook,Education,3436,760,408,9818,0.27,Bengaluru Urban,Marathi,Yes,Low,Eid al-Adha,2024-07-11 16:39:38,July,Thursday,363.82,25-34,Male
44,carousel,Facebook,Travel,172,115,573,9942,0.18,Gurgaon Urban,Urdu,Yes,High,"Diwali, Bhai Dooj",2024-11-25 13:14:11,November,Monday,3288.79,25-34,Male
45,static_image,Instagram,Travel,1785,1186,213,8785,0.08,Rural Bihar,Hindi,No,Medium,"Baisakhi, Ram Navami",2024-04-17 12:04:33,April,Wednesday,1914.25,25-34,Male
46,static_image,Instagram,Sports,640,810,205,8535,0.04,Mysuru Urban,Bhojpuri,No,Low,Ganesh Chaturthi,2024-09-16 07:48:46,September,Monday,4380.27,18-24,Male
47,static_image,Instagram,Social Issues,7435,1300,658,2655,0.21,Rural UP West,Hindi,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-25 23:36:17,August,Sunday,684.54,25-34,Female
48,static_image,Facebook,Music,3387,763,80,5240,0.29,Rural Karnataka North,Bhojpuri,No,Medium,"Lohri, Pongal, Republic Day",2024-01-25 23:16:21,January,Thursday,3876.6,45-54,Other
49,video,Instagram,Politics,94,772,470,2639,0.29,Mysuru Urban,Bengali,No,Low,Ganesh Chaturthi,2024-09-27 01:00:49,September,Friday,436.94,45-54,Male
50,video,YouTube,Movies,4944,976,328,2617,0.23,Pune Urban,Hindi,No,Medium,"Holi, Maha Shivaratri",2024-03-18 13:38:07,March,Monday,1826.94,35-44,Other
51,video,YouTube,Health,2311,696,429,9824,0.06,Rural Karnataka South,Marathi,No,Medium,"Holi, Maha Shivaratri",2024-03-03 15:53:41,March,Sunday,2406.93,25-34,Male
52,static_image,YouTube,Politics,4570,486,187,2290,0.3,Rural Gujarat,Hinglish,Yes,Low,Rath Yatra,2024-06-08 07:01:02,June,Saturday,275.8,55+,Male
53,reel,Facebook,Sports,4833,556,312,4825,0.23,Chennai Suburban,Malayalam,Yes,Low,"Buddha Purnima, Eid al-Fitr",2024-05-03 04:50:30,May,Friday,301.57,55+,Female
54,carousel,Facebook,Social Issues,4432,726,287,7735,0.06,Delhi NCR Urban,Tamil,No,Low,Vasant Panchami,2024-02-27 15:13:29,February,Tuesday,1298.79,55+,Other
55,video,YouTube,Fashion,1874,679,459,382,0.06,Mysuru Urban,Odia,No,Low,Ganesh Chaturthi,2024-09-27 20:54:00,September,Friday,3923.98,35-44,Other
56,carousel,Facebook,Education,1674,261,191,2844,0.08,Rural Tamil Nadu South,Odia,No,Low,Ganesh Chaturthi,2024-09-14 21:18:47,September,Saturday,534.85,45-54,Female
57,reel,Facebook,Education,5370,1389,535,7674,0.16,Rural Bihar,Kannada,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-09 22:26:24,October,Wednesday,907.46,55+,Male
58,video,YouTube,Gaming,2595,676,238,4851,0.05,Mumbai Urban,Gujarati,Yes,Low,"Buddha Purnima, Eid al-Fitr",2024-05-03 19:16:44,May,Friday,3404.38,18-24,Other
59,static_image,YouTube,Finance,4848,57,367,655,0.1,Bengaluru Urban,Tamil,No,Low,Ganesh Chaturthi,2024-09-18 21:56:16,September,Wednesday,2059.97,25-34,Female
60,static_image,Facebook,Education,2467,488,469,234,0.23,Rural UP West,Tamil,No,Medium,"Baisakhi, Ram Navami",2024-04-13 11:00:22,April,Saturday,3525.95,45-54,Other
61,static_image,YouTube,Technology,768,115,304,3957,0.27,Mumbai Suburban,Bengali,No,Low,"Christmas, New Year's Eve",2024-12-12 02:22:43,December,Thursday,3487.11,55+,Female
62,static_image,YouTube,Food,6600,372,747,4885,0.07,Rural Punjab,Hinglish,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-16 09:36:42,August,Friday,495.67,35-44,Other
63,carousel,Instagram,Food,4302,26,260,9912,0.27,Delhi NCR Urban,Odia,No,Low,Ganesh Chaturthi,2024-09-27 09:21:59,September,Friday,1041.5,25-34,Female
64,carousel,Instagram,Social Issues,5170,517,380,4278,0.02,Bengaluru Suburban,English,No,Medium,"Lohri, Pongal, Republic Day",2024-01-17 06:42:54,January,Wednesday,894.41,45-54,Male
65,static_image,YouTube,Fashion,6778,42,622,5763,0.29,Bengaluru Urban,Tamil,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-22 12:52:26,August,Thursday,3475.28,45-54,Female
66,video,YouTube,Health,333,78,42,6422,0.16,Coimbatore Urban,Punjabi,No,Low,Ganesh Chaturthi,2024-09-28 03:31:12,September,Saturday,2883.33,55+,Other
67,static_image,YouTube,Health,4168,266,37,7094,0.16,Rural Tamil Nadu North,Bhojpuri,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-07 01:59:04,May,Tuesday,4118.61,18-24,Female
68,video,Facebook,Education,967,135,19,6289,0.13,Rural UP East,Telugu,No,Low,"Christmas, New Year's Eve",2024-12-19 19:47:23,December,Thursday,343.87,55+,Female
69,video,YouTube,Politics,1444,87,68,8451,0.24,Rural Rajasthan,Hinglish,No,Low,"Christmas, New Year's Eve",2024-12-24 10:47:46,December,Tuesday,4514.01,25-34,Other
70,video,Instagram,Health,3002,918,157,7392,0.16,Mysuru Urban,Odia,No,Medium,"Baisakhi, Ram Navami",2024-04-29 23:34:27,April,Monday,4483.79,25-34,Other
71,video,Instagram,Social Issues,4773,176,29,7624,0.14,Rural UP West,Malayalam,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-19 04:41:31,May,Sunday,4650.8,25-34,Other
72,video,YouTube,Fashion,5823,960,511,7744,0.04,Gurgaon Urban,Malayalam,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-27 20:40:27,October,Sunday,3181.12,18-24,Other
73,static_image,Instagram,Social Issues,1701,905,39,5432,0.1,Rural UP East,Kannada,No,Low,Rath Yatra,2024-06-29 22:12:39,June,Saturday,2451.11,25-34,Female
74,carousel,Instagram,Travel,1652,650,349,9231,0.1,Rural NCR,Punjabi,No,Medium,"Holi, Maha Shivaratri",2024-03-11 03:41:07,March,Monday,4219.4,25-34,Other
75,video,Facebook,Travel,2281,981,411,836,0.11,Rural Rajasthan,Malayalam,No,Medium,"Holi, Maha Shivaratri",2024-03-24 04:26:19,March,Sunday,3437.04,18-24,Female
76,reel,Facebook,Music,7209,282,418,5109,0.08,Delhi Urban,Telugu,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-14 21:00:51,August,Wednesday,1424.42,35-44,Other
77,static_image,Instagram,Finance,1888,589,175,9042,0.16,Delhi NCR Urban,Malayalam,Yes,Medium,"Baisakhi, Ram Navami",2024-04-20 21:28:15,April,Saturday,3002.96,25-34,Female
78,video,Facebook,Sports,2203,894,491,2969,0.18,Mumbai Suburban,Malayalam,No,Low,"Christmas, New Year's Eve",2024-12-15 23:05:01,December,Sunday,1493.12,35-44,Other
79,carousel,Facebook,Social Issues,1308,397,324,6548,0.2,Rural Rajasthan,Tamil,Yes,Low,"Christmas, New Year's Eve",2024-12-05 04:45:32,December,Thursday,165.09,55+,Other
80,video,YouTube,Sports,1911,31,70,5884,0.14,Rural Maharashtra West,Kannada,No,Medium,"Baisakhi, Ram Navami",2024-04-17 04:19:46,April,Wednesday,2979.38,55+,Male
81,video,YouTube,Entertainment,4377,325,594,12343,0.28,Kolkata Urban,Gujarati,Yes,High,"Diwali, Bhai Dooj",2024-11-02 01:47:50,November,Saturday,2971.09,18-24,Male
82,video,YouTube,Sports,6270,1323,153,4491,0.42,Mumbai Urban,Malayalam,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-30 21:57:16,August,Friday,72.44,35-44,Female
83,video,Facebook,Finance,90,1076,265,9690,0.08,Delhi NCR Urban,Gujarati,No,Medium,"Holi, Maha Shivaratri",2024-03-20 15:30:44,March,Wednesday,2882.8,55+,Male
84,video,YouTube,Music,4636,152,489,5472,0.07,Rural Rajasthan,Bengali,No,Low,Rath Yatra,2024-06-09 17:42:21,June,Sunday,1932.57,35-44,Female
85,carousel,Instagram,Sports,7015,474,522,3709,0.02,Rural Bihar,Bengali,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-23 06:14:35,October,Wednesday,1841.66,55+,Female
86,reel,Instagram,Fashion,4306,217,458,7454,0.15,Kolkata Urban,Telugu,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-26 10:27:01,May,Sunday,3761.49,45-54,Female
87,video,YouTube,Sports,656,561,223,1174,0.02,Kolkata Urban,Urdu,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-11 16:00:05,May,Saturday,192.8,25-34,Male
88,static_image,YouTube,Politics,363,168,110,5771,0.2,Rural Tamil Nadu South,Bengali,No,Low,"Christmas, New Year's Eve",2024-12-17 07:59:16,December,Tuesday,4489.92,25-34,Male
89,video,Facebook,Health,3983,791,422,7454,0.14,Bengaluru Urban,English,No,Low,Ganesh Chaturthi,2024-09-10 21:30:31,September,Tuesday,1631.32,35-44,Female
90,static_image,Instagram,Social Issues,1105,589,496,8438,0.01,Delhi NCR Urban,Gujarati,No,Low,Vasant Panchami,2024-02-11 14:58:22,February,Sunday,1250.64,18-24,Male
91,static_image,YouTube,Social Issues,908,914,119,7346,0.1,Rural West Bengal,Hinglish,No,Low,Eid al-Adha,2024-07-27 03:49:50,July,Saturday,2258.06,25-34,Male
92,video,YouTube,Finance,4871,933,86,2972,0.28,Mumbai Suburban,Kannada,No,Low,Vasant Panchami,2024-02-05 22:41:58,February,Monday,2037.07,55+,Other
93,video,YouTube,Sports,3865,430,135,7677,0.15,Coimbatore Urban,Kannada,No,Low,Vasant Panchami,2024-02-09 07:47:35,February,Friday,3556.06,35-44,Male
94,video,Instagram,Fashion,2552,505,338,6832,0.26,Rural Bihar,Hinglish,No,Low,Eid al-Adha,2024-07-04 08:10:18,July,Thursday,3369.43,35-44,Female
95,static_image,Instagram,Education,5896,645,199,11737,0.17,Noida Urban,Bhojpuri,Yes,High,"Diwali, Bhai Dooj",2024-11-17 19:04:48,November,Sunday,2858.61,25-34,Male
96,reel,Instagram,Music,2902,222,207,4484,0.06,Rural Gujarat,Bengali,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-19 13:37:58,May,Sunday,2396.29,25-34,Male
97,carousel,Instagram,Sports,630,799,63,3568,0.28,Bengaluru Suburban,Hindi,No,Low,Vasant Panchami,2024-02-26 19:56:28,February,Monday,1186.09,55+,Other
98,static_image,Instagram,Technology,694,662,65,3330,0.07,Rural Rajasthan,Bengali,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-01 15:39:40,May,Wednesday,17.32,55+,Male
99,reel,Instagram,Social Issues,1712,944,168,7239,0.28,Chennai Urban,Urdu,No,Medium,"Holi, Maha Shivaratri",2024-03-01 20:53:58,March,Friday,435.39,35-44,Other
100,reel,Instagram,Politics,3790,79,331,12985,0.25,Rural Maharashtra East,Odia,Yes,High,"Diwali, Bhai Dooj",2024-11-29 05:21:19,November,Friday,2840.72,55+,Other
101,video,YouTube,Technology,3862,175,315,3398,0.33,Rural Maharashtra East,Marathi,No,Medium,"Holi, Maha Shivaratri",2024-03-10 08:51:31,March,Sunday,3639.37,25-34,Male
102,static_image,Instagram,Fashion,4664,873,295,2032,0.1,Rural UP West,Malayalam,Yes,Low,"Buddha Purnima, Eid al-Fitr",2024-05-28 21:26:27,May,Tuesday,4544.84,25-34,Other
103,static_image,Instagram,Education,4719,273,315,6343,0.08,Rural Rajasthan,Kannada,No,Low,"Christmas, New Year's Eve",2024-12-15 21:39:32,December,Sunday,1926.35,45-54,Male
104,video,Facebook,Technology,711,1138,378,5014,0.2,Rural Tamil Nadu South,Marathi,No,Medium,"Baisakhi, Ram Navami",2024-04-25 11:55:04,April,Thursday,896.09,45-54,Other
105,static_image,Facebook,Gaming,4678,602,151,9721,0.16,Bengaluru Urban,Telugu,No,Low,Vasant Panchami,2024-02-13 07:23:17,February,Tuesday,1662.73,25-34,Male
106,video,YouTube,Finance,2991,1434,636,4455,0.26,Rural Karnataka South,Urdu,Yes,High,"Diwali, Bhai Dooj",2024-11-28 14:41:26,November,Thursday,970.7,35-44,Other
107,video,YouTube,Sports,4359,146,54,230,0.14,Mumbai Urban,Marathi,No,Low,Rath Yatra,2024-06-18 21:26:32,June,Tuesday,2539.31,18-24,Male
108,reel,Facebook,Gaming,1802,985,596,1990,0.3,Rural Maharashtra West,Hinglish,Yes,Medium,"Lohri, Pongal, Republic Day",2024-01-09 06:07:12,January,Tuesday,4618.63,45-54,Female
109,static_image,YouTube,Travel,654,879,126,4841,0.29,Rural UP East,Hinglish,No,Low,"Christmas, New Year's Eve",2024-12-14 18:22:31,December,Saturday,4412.51,25-34,Other
110,video,Instagram,Politics,3318,788,243,5742,0.07,Rural Rajasthan,Hinglish,No,Medium,"Lohri, Pongal, Republic Day",2024-01-10 20:20:17,January,Wednesday,2585.78,45-54,Female
111,carousel,Facebook,Fashion,3190,952,103,7917,0.08,Rural Tamil Nadu South,Urdu,No,Low,Vasant Panchami,2024-02-19 19:04:28,February,Monday,196.56,25-34,Male
112,video,Instagram,Social Issues,512,824,309,4113,0.08,Rural Rajasthan,Tamil,No,Low,Vasant Panchami,2024-02-01 00:08:06,February,Thursday,519.78,18-24,Female
113,video,Instagram,Music,3526,808,139,10940,0.3,Gurgaon Urban,Tamil,Yes,Medium,"Holi, Maha Shivaratri",2024-03-14 22:30:25,March,Thursday,4645.89,25-34,Male
114,video,Instagram,Music,849,1015,319,3978,0.3,Mysuru Urban,Marathi,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-08 11:31:09,August,Thursday,2545.84,55+,Male
115,video,YouTube,Food,4547,328,459,7270,0.1,Coimbatore Urban,English,Yes,Low,Rath Yatra,2024-06-29 19:37:37,June,Saturday,1334.46,25-34,Other
116,static_image,Instagram,Technology,2190,685,110,7107,0.2,Rural Maharashtra West,Malayalam,Yes,Low,Rath Yatra,2024-06-06 19:15:01,June,Thursday,355.52,18-24,Female
117,video,Facebook,Finance,1296,52,354,2545,0.04,Rural Maharashtra West,Malayalam,Yes,High,"Diwali, Bhai Dooj",2024-11-16 08:18:06,November,Saturday,4575.63,55+,Female
118,static_image,YouTube,Fashion,3036,438,585,10842,0.28,Rural Maharashtra West,Gujarati,No,Medium,"Baisakhi, Ram Navami",2024-04-24 20:53:12,April,Wednesday,2411.54,25-34,Female
119,static_image,YouTube,Fashion,4932,936,77,7139,0.1,Coimbatore Urban,Malayalam,No,Low,Rath Yatra,2024-06-26 06:28:50,June,Wednesday,232.96,35-44,Female
120,carousel,Instagram,Entertainment,291,303,586,9085,0.17,Mysuru Urban,Gujarati,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-14 15:48:23,August,Wednesday,2557.95,18-24,Female
121,reel,Instagram,Finance,1105,136,457,9546,0.02,Bengaluru Suburban,Tamil,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-28 11:44:33,May,Tuesday,2058.18,35-44,Male
122,static_image,Instagram,Technology,2288,114,353,4312,0.27,Rural Maharashtra West,Gujarati,No,Low,Ganesh Chaturthi,2024-09-18 16:33:26,September,Wednesday,4112.12,45-54,Other
123,video,Instagram,Social Issues,508,537,325,1419,0.32,Chennai Urban,Tamil,No,Medium,"Holi, Maha Shivaratri",2024-03-29 01:11:10,March,Friday,3629.3,35-44,Other
124,video,YouTube,Music,1234,999,452,11364,0.21,Rural Tamil Nadu South,Bhojpuri,No,Medium,"Baisakhi, Ram Navami",2024-04-12 07:47:38,April,Friday,1040.41,25-34,Other
125,reel,Instagram,Finance,3156,292,648,2307,0.18,Rural Tamil Nadu South,Gujarati,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-23 06:48:36,October,Wednesday,1007.05,45-54,Male
126,video,YouTube,Movies,4838,298,295,4962,0.29,Delhi NCR Urban,English,Yes,Low,Vasant Panchami,2024-02-15 01:39:22,February,Thursday,999.24,55+,Male
127,reel,Facebook,Movies,4507,1166,453,5310,0.35,Rural Karnataka North,English,No,Medium,"Lohri, Pongal, Republic Day",2024-01-30 08:54:27,January,Tuesday,4800.41,35-44,Male
128,video,YouTube,Education,463,504,362,8376,0.03,Rural Bihar,Hinglish,No,Medium,"Holi, Maha Shivaratri",2024-03-17 15:40:23,March,Sunday,4614.09,25-34,Male
129,static_image,YouTube,Food,5580,270,73,9122,0.08,Rural Tamil Nadu South,Hindi,No,Medium,"Lohri, Pongal, Republic Day",2024-01-24 05:06:37,January,Wednesday,4511.78,35-44,Female
130,static_image,YouTube,Entertainment,1063,502,610,2259,0.13,Kolkata Urban,Malayalam,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-22 19:06:12,August,Thursday,2365.06,45-54,Female
131,reel,Facebook,Education,5847,1302,738,5290,0.34,Rural Punjab,Punjabi,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-25 04:58:06,October,Friday,3228.41,35-44,Male
132,video,Facebook,Sports,6358,178,703,7518,0.23,Rural UP West,Telugu,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-16 02:23:55,October,Wednesday,81.97,45-54,Male
133,video,Instagram,Fashion,3442,302,468,4579,0.07,Delhi Urban,Telugu,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-20 19:49:45,May,Monday,630.41,55+,Female
134,video,YouTube,Sports,537,842,404,5112,0.14,Noida Urban,Bhojpuri,No,Low,Rath Yatra,2024-06-13 19:49:18,June,Thursday,1278.52,25-34,Female
135,static_image,YouTube,Sports,5924,242,363,3615,0.15,Noida Urban,Odia,No,Medium,"Lohri, Pongal, Republic Day",2024-01-02 14:22:58,January,Tuesday,4029.55,55+,Male
136,video,YouTube,Social Issues,2559,117,499,2534,0.07,Rural Punjab,Punjabi,Yes,Low,"Christmas, New Year's Eve",2024-12-10 17:51:21,December,Tuesday,4076.94,55+,Other
137,video,Facebook,Technology,2445,385,485,4015,0.13,Delhi NCR Urban,Punjabi,Yes,Low,Rath Yatra,2024-06-29 10:10:49,June,Saturday,3952.23,25-34,Other
138,reel,Facebook,Sports,962,855,419,3397,0.12,Rural Maharashtra West,Gujarati,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-30 07:00:32,May,Thursday,2953.52,25-34,Female
139,video,YouTube,Finance,6355,73,280,11151,0.33,Rural West Bengal,Malayalam,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-17 10:00:46,October,Thursday,2737.96,18-24,Other
140,video,YouTube,Travel,5817,372,550,3784,0.33,Rural West Bengal,Bengali,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-31 10:47:01,August,Saturday,3456.57,25-34,Female
141,static_image,Instagram,Health,3603,481,375,183,0.35,Rural Tamil Nadu North,Gujarati,No,Medium,"Lohri, Pongal, Republic Day",2024-01-01 11:34:30,January,Monday,2307.37,55+,Other
142,carousel,Instagram,Movies,1667,348,157,9925,0.15,Rural Punjab,Odia,No,Low,Vasant Panchami,2024-02-24 20:25:11,February,Saturday,587.71,18-24,Male
143,video,YouTube,Gaming,150,66,576,9951,0.12,Delhi Urban,Gujarati,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-09 17:26:42,August,Friday,1471.63,18-24,Female
144,video,Facebook,Finance,743,742,88,6249,0.02,Hyderabad Urban,Telugu,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-10 22:28:51,May,Friday,4595.59,25-34,Female
