post_type,timestamp,likes,comments,shares,state
carousel,2024-12-04 01:42:24.699139,637,73,43,Punjab
carousel,2024-12-04 03:08:24.704016,715,114,48,Delhi
reel,2024-12-04 05:39:24.729206,1020,86,46,West Bengal
static_image,2024-12-04 07:36:24.705730,651,71,32,Maharashtra
static_image,2024-12-04 07:43:24.742827,668,87,61,Karnataka
carousel,2024-12-04 08:17:24.697782,689,109,72,Karnataka
reel,2024-12-04 09:36:24.730309,1231,100,63,Rajasthan
static_image,2024-12-04 09:55:24.687109,628,37,33,Jammu and Kashmir
static_image,2024-12-04 11:00:24.695237,1254,105,104,Maharashtra
reel,2024-12-04 11:00:24.695512,1471,252,152,Uttar Pradesh
static_image,2024-12-04 11:00:24.695989,1051,84,52,Gujarat
static_image,2024-12-04 11:00:24.700039,725,75,45,Bihar
static_image,2024-12-04 11:00:24.702194,566,70,54,Karnataka
carousel,2024-12-04 11:00:24.703752,1147,150,51,Punjab
static_image,2024-12-04 11:00:24.705618,1268,97,81,Gujarat
static_image,2024-12-04 11:00:24.711733,733,97,36,Karnataka
reel,2024-12-04 11:00:24.714138,1883,231,172,Punjab
reel,2024-12-04 11:00:24.714797,1485,203,196,Bihar
carousel,2024-12-04 11:00:24.720005,645,112,75,Delhi
reel,2024-12-04 11:00:24.723715,1347,174,73,Jammu and Kashmir
carousel,2024-12-04 11:00:24.731480,993,70,64,Tamil Nadu
static_image,2024-12-04 11:00:24.732398,523,99,50,Maharashtra
reel,2024-12-04 11:00:24.732599,1100,168,104,Assam
static_image,2024-12-04 11:00:24.734743,765,114,5,Chhattisgarh
reel,2024-12-04 11:00:24.738460,2163,163,90,Telangana
reel,2024-12-04 11:00:24.741032,1670,123,157,Maharashtra
static_image,2024-12-04 11:00:24.742498,633,72,54,Karnataka
reel,2024-12-04 11:00:24.743203,1913,99,122,Jammu and Kashmir
static_image,2024-12-04 11:03:24.718213,808,64,45,Uttar Pradesh
carousel,2024-12-04 12:53:24.731214,687,95,60,Rajasthan
static_image,2024-12-04 13:21:24.701949,532,70,39,Kerala
carousel,2024-12-04 14:42:24.693729,697,81,16,Maharashtra
static_image,2024-12-04 15:17:24.697937,743,81,36,Chhattisgarh
reel,2024-12-04 16:30:24.689851,1394,171,71,Rajasthan
reel,2024-12-04 16:30:24.691164,825,132,72,Jammu and Kashmir
static_image,2024-12-04 16:30:24.697871,839,52,62,Karnataka
static_image,2024-12-04 16:30:24.707477,667,90,40,Karnataka
reel,2024-12-04 16:30:24.715672,1372,139,113,West Bengal
reel,2024-12-04 16:30:24.723480,1366,261,135,Delhi
reel,2024-12-04 16:30:24.724396,1434,183,87,Gujarat
static_image,2024-12-04 16:30:24.724462,880,65,48,Maharashtra
reel,2024-12-04 16:30:24.728695,932,68,45,Tamil Nadu
static_image,2024-12-04 16:30:24.728898,727,71,32,Haryana
static_image,2024-12-04 16:30:24.731524,923,61,24,Kerala
static_image,2024-12-04 16:36:24.739611,741,69,48,West Bengal
reel,2024-12-04 17:30:24.686133,1076,153,141,Telangana
carousel,2024-12-04 17:30:24.692658,1346,79,83,Delhi
static_image,2024-12-04 17:30:24.694326,905,126,55,Delhi
carousel,2024-12-04 17:30:24.698249,665,89,44,Karnataka
carousel,2024-12-04 17:30:24.700538,789,86,49,Chhattisgarh
static_image,2024-12-04 17:30:24.705287,647,64,22,Telangana
carousel,2024-12-04 17:30:24.707996,767,181,59,Maharashtra
static_image,2024-12-04 17:30:24.709363,743,37,41,Madhya Pradesh
static_image,2024-12-04 17:30:24.710034,1141,74,62,Maharashtra
static_image,2024-12-04 17:30:24.712407,660,56,32,Telangana
carousel,2024-12-04 17:30:24.712826,707,68,43,Uttar Pradesh
reel,2024-12-04 17:30:24.714886,515,105,3,Manipur
carousel,2024-12-04 17:30:24.716198,735,113,59,Kerala
static_image,2024-12-04 17:30:24.717448,515,108,40,Maharashtra
reel,2024-12-04 17:30:24.717979,1058,47,91,Telangana
reel,2024-12-04 17:30:24.729184,1258,98,111,Karnataka
static_image,2024-12-04 17:30:24.734006,583,52,59,Maharashtra
carousel,2024-12-04 17:30:24.734183,728,67,40,Tripura
carousel,2024-12-04 17:30:24.735337,631,51,24,Jammu and Kashmir
carousel,2024-12-04 17:30:24.735579,1004,119,33,Uttar Pradesh
carousel,2024-12-04 17:30:24.736227,1097,146,45,Punjab
reel,2024-12-04 17:30:24.737147,1327,158,114,Gujarat
static_image,2024-12-04 17:30:24.737901,718,40,59,Odisha
carousel,2024-12-04 17:30:24.741861,839,71,49,Uttar Pradesh
static_image,2024-12-04 17:30:24.742849,618,52,42,Kerala
carousel,2024-12-04 17:30:24.742981,905,89,75,Gujarat
carousel,2024-12-04 19:00:24.695835,1067,127,87,Haryana
reel,2024-12-04 19:29:24.688859,1908,248,108,Telangana
reel,2024-12-04 20:23:24.738187,1977,142,190,West Bengal
static_image,2024-12-04 21:12:24.703368,485,102,23,Telangana
static_image,2024-12-04 21:13:24.694838,674,84,43,Karnataka
static_image,2024-12-04 21:30:24.705975,594,71,46,Maharashtra
static_image,2024-12-04 21:55:24.692336,569,32,44,Haryana
static_image,2024-12-04 22:19:24.696812,529,108,56,Gujarat
static_image,2024-12-05 00:55:24.703928,752,66,21,Telangana
carousel,2024-12-05 01:23:24.730805,596,77,26,Jharkhand
static_image,2024-12-05 02:13:24.705089,390,43,26,Goa
carousel,2024-12-05 03:03:24.726515,779,105,35,Tamil Nadu
static_image,2024-12-05 04:06:24.691569,424,4,30,Maharashtra
static_image,2024-12-05 04:21:24.731015,273,38,35,Sikkim
reel,2024-12-05 05:34:24.731037,1165,68,85,Meghalaya
static_image,2024-12-05 05:48:24.718780,287,28,11,Rajasthan
reel,2024-12-05 05:49:24.691053,914,82,100,Assam
carousel,2024-12-05 05:55:24.706770,371,52,57,West Bengal
reel,2024-12-05 06:01:24.728454,1125,247,51,Karnataka
static_image,2024-12-05 06:09:24.738209,472,28,17,Maharashtra
reel,2024-12-05 06:46:24.690558,1360,143,49,Tamil Nadu
static_image,2024-12-05 07:00:24.700781,410,30,25,West Bengal
static_image,2024-12-05 07:00:24.712363,417,34,20,Rajasthan
reel,2024-12-05 07:00:24.719494,459,72,62,Manipur
carousel,2024-12-05 07:00:24.727729,706,68,8,Jharkhand
static_image,2024-12-05 07:00:24.735447,539,50,26,Goa
reel,2024-12-05 07:07:24.714572,1107,133,68,Tamil Nadu
reel,2024-12-05 07:36:24.693294,1001,121,35,Kerala
static_image,2024-12-05 09:23:24.743397,691,63,47,Haryana
carousel,2024-12-05 09:56:24.737835,890,74,37,Telangana
reel,2024-12-05 10:11:24.727398,1603,193,110,Kerala
static_image,2024-12-05 10:39:24.706893,425,49,28,Haryana
carousel,2024-12-05 11:00:24.696981,1069,196,64,Uttar Pradesh
carousel,2024-12-05 11:00:24.698426,704,142,40,Delhi
carousel,2024-12-05 11:00:24.700304,767,78,31,Assam
reel,2024-12-05 11:00:24.717337,1725,305,192,Telangana
static_image,2024-12-05 11:00:24.722565,538,75,57,Uttar Pradesh
static_image,2024-12-05 11:00:24.724550,699,62,56,Tripura
static_image,2024-12-05 11:00:24.725513,863,29,20,Madhya Pradesh
static_image,2024-12-05 11:00:24.733425,886,58,51,Tamil Nadu
carousel,2024-12-05 11:00:24.739139,763,97,45,Rajasthan
static_image,2024-12-05 11:46:24.699973,1385,182,73,Karnataka
carousel,2024-12-05 11:56:24.730534,1056,189,62,Kerala
reel,2024-12-05 12:00:24.687810,1165,119,78,Rajasthan
carousel,2024-12-05 12:00:24.697381,1432,119,106,Telangana
static_image,2024-12-05 12:00:24.707940,523,80,41,Uttarakhand
static_image,2024-12-05 12:00:24.708884,1237,118,81,Maharashtra
carousel,2024-12-05 12:00:24.711953,1058,87,57,Rajasthan
reel,2024-12-05 12:00:24.724242,1501,212,170,Gujarat
static_image,2024-12-05 12:00:24.738438,808,101,44,Assam
static_image,2024-12-05 12:00:24.740878,1655,135,93,Delhi
carousel,2024-12-05 12:16:24.703168,870,93,77,Rajasthan
static_image,2024-12-05 13:35:24.736006,580,89,72,Tamil Nadu
carousel,2024-12-05 13:48:24.687340,574,42,21,Himachal Pradesh
static_image,2024-12-05 14:00:24.711122,525,90,59,Gujarat
static_image,2024-12-05 14:00:24.716065,634,51,25,Himachal Pradesh
static_image,2024-12-05 14:00:24.717315,892,110,36,Gujarat
reel,2024-12-05 14:00:24.721840,1371,190,112,Jammu and Kashmir
carousel,2024-12-05 14:00:24.736271,634,83,20,Tripura
reel,2024-12-05 14:00:24.740306,1490,121,160,Maharashtra
static_image,2024-12-05 14:00:24.740724,445,39,12,Assam
static_image,2024-12-05 14:00:24.741266,718,67,46,Rajasthan
reel,2024-12-05 16:30:24.699500,1202,129,53,Tripura
static_image,2024-12-05 16:30:24.706393,800,69,7,Haryana
carousel,2024-12-05 16:30:24.713042,597,67,16,Odisha
static_image,2024-12-05 16:30:24.713129,680,67,36,Gujarat
carousel,2024-12-05 16:30:24.715885,579,45,24,Assam
static_image,2024-12-05 16:30:24.725113,642,82,38,Uttar Pradesh
reel,2024-12-05 17:24:24.722016,1246,105,47,West Bengal
reel,2024-12-05 17:49:24.730467,1563,223,101,Gujarat
carousel,2024-12-05 18:21:24.737368,1008,84,39,Uttar Pradesh
reel,2024-12-05 18:25:24.718802,894,146,107,Karnataka
carousel,2024-12-05 18:30:24.695923,764,59,16,Kerala
reel,2024-12-05 18:30:24.710531,1993,225,37,West Bengal
reel,2024-12-05 18:30:24.718736,1988,144,69,Delhi
static_image,2024-12-05 18:30:24.720802,491,96,25,West Bengal
reel,2024-12-05 18:30:24.726800,1816,207,172,Maharashtra
static_image,2024-12-05 18:30:24.730354,526,75,27,Kerala
carousel,2024-12-05 18:30:24.735648,1111,101,30,Gujarat
reel,2024-12-05 18:33:24.724682,1775,171,139,Maharashtra
static_image,2024-12-05 18:49:24.692749,723,61,23,Uttarakhand
static_image,2024-12-05 18:55:24.686733,664,60,16,Nagaland
carousel,2024-12-05 20:35:24.726536,1041,102,66,Kerala
static_image,2024-12-05 21:00:24.688791,746,44,28,Uttarakhand
carousel,2024-12-05 21:00:24.690492,865,58,46,West Bengal
static_image,2024-12-05 21:00:24.692469,976,83,17,West Bengal
reel,2024-12-05 21:00:24.705309,1835,182,112,Gujarat
reel,2024-12-05 21:00:24.712639,1610,117,97,West Bengal
static_image,2024-12-05 21:00:24.714368,860,68,55,Bihar
carousel,2024-12-05 21:00:24.714458,766,37,27,Jharkhand
static_image,2024-12-05 21:00:24.715977,979,92,41,Bihar
reel,2024-12-05 21:23:24.698492,794,162,64,Uttar Pradesh
reel,2024-12-05 22:29:24.703708,1638,116,150,Delhi
static_image,2024-12-05 23:08:24.715308,509,62,54,Tamil Nadu
static_image,2024-12-06 00:30:24.686101,427,69,31,Assam
static_image,2024-12-06 00:30:24.688184,592,46,20,West Bengal
carousel,2024-12-06 00:30:24.692138,680,73,39,Haryana
reel,2024-12-06 00:30:24.692683,990,121,107,Telangana
carousel,2024-12-06 00:30:24.700759,590,122,28,Kerala
reel,2024-12-06 00:30:24.703840,1026,106,76,Telangana
carousel,2024-12-06 00:30:24.707874,860,71,35,Punjab
carousel,2024-12-06 00:30:24.709151,1048,86,34,Kerala
reel,2024-12-06 00:30:24.710438,1052,111,92,Jammu and Kashmir
static_image,2024-12-06 00:30:24.711210,590,41,24,Nagaland
carousel,2024-12-06 00:30:24.721508,639,91,61,Tamil Nadu
carousel,2024-12-06 00:30:24.724594,312,57,19,Jharkhand
carousel,2024-12-06 00:30:24.733481,429,27,28,Manipur
reel,2024-12-06 00:30:24.736557,1426,128,93,Telangana
reel,2024-12-06 00:30:24.737017,1044,175,39,Himachal Pradesh
carousel,2024-12-06 00:30:24.739216,770,70,29,West Bengal
static_image,2024-12-06 02:07:24.721442,555,19,24,Kerala
static_image,2024-12-06 03:23:24.739430,470,63,33,Uttar Pradesh
reel,2024-12-06 04:34:24.704326,1282,98,82,West Bengal
reel,2024-12-06 05:58:24.706614,864,107,84,Jharkhand
reel,2024-12-06 06:43:24.737544,1015,80,77,Uttar Pradesh
static_image,2024-12-06 06:59:24.708471,607,53,32,Gujarat
reel,2024-12-06 08:38:24.701786,1124,96,68,Haryana
reel,2024-12-06 08:53:24.726998,1612,164,76,Rajasthan
reel,2024-12-06 11:55:24.714481,1311,216,291,Delhi
static_image,2024-12-06 13:51:24.719568,550,53,11,Tamil Nadu
reel,2024-12-06 14:00:24.687030,1560,216,86,Delhi
reel,2024-12-06 14:00:24.689226,706,80,29,Chhattisgarh
reel,2024-12-06 14:00:24.697197,1481,240,124,West Bengal
carousel,2024-12-06 14:00:24.702283,1485,135,85,Maharashtra
reel,2024-12-06 14:00:24.703510,795,172,57,Maharashtra
reel,2024-12-06 14:00:24.708295,2053,260,95,Telangana
static_image,2024-12-06 14:00:24.709018,902,71,22,West Bengal
static_image,2024-12-06 14:00:24.717150,698,81,38,Karnataka
static_image,2024-12-06 14:00:24.721663,518,73,23,Gujarat
static_image,2024-12-06 14:00:24.728169,663,35,38,Telangana
reel,2024-12-06 14:00:24.732731,1916,146,54,Gujarat
carousel,2024-12-06 14:00:24.732931,935,70,56,Karnataka
reel,2024-12-06 14:00:24.734160,1183,127,84,Haryana
reel,2024-12-06 14:00:24.740020,1324,105,48,Rajasthan
carousel,2024-12-06 14:00:24.743558,727,27,14,Uttarakhand
static_image,2024-12-06 14:30:24.700693,720,30,62,Madhya Pradesh
reel,2024-12-06 14:30:24.701237,1311,222,127,Tamil Nadu
carousel,2024-12-06 14:30:24.705886,1053,77,68,Kerala
reel,2024-12-06 14:30:24.705953,875,127,38,Haryana
carousel,2024-12-06 14:30:24.707215,548,44,35,Sikkim
static_image,2024-12-06 14:30:24.709835,582,65,55,Karnataka
static_image,2024-12-06 14:30:24.717779,437,22,14,Manipur
static_image,2024-12-06 14:30:24.718669,665,72,26,West Bengal
static_image,2024-12-06 14:30:24.730219,682,37,26,Tripura
carousel,2024-12-06 14:30:24.743159,628,48,37,Telangana
carousel,2024-12-06 14:35:24.738415,888,57,30,Telangana
static_image,2024-12-06 15:57:24.698650,630,51,59,Bihar
carousel,2024-12-06 17:26:24.691843,780,71,61,Karnataka
static_image,2024-12-06 20:08:24.741577,1068,83,66,Punjab
static_image,2024-12-06 21:38:24.714909,707,66,55,Odisha
static_image,2024-12-06 22:15:24.720561,556,97,48,Karnataka
reel,2024-12-06 22:30:24.689060,594,150,60,Uttarakhand
carousel,2024-12-06 22:30:24.693663,760,83,33,Karnataka
carousel,2024-12-06 22:30:24.693773,736,59,40,Sikkim
static_image,2024-12-06 22:30:24.705821,635,67,26,Karnataka
reel,2024-12-06 22:30:24.708515,1053,139,46,Punjab
carousel,2024-12-06 22:30:24.710753,959,112,55,Haryana
static_image,2024-12-06 22:30:24.713420,557,95,33,Goa
static_image,2024-12-06 22:30:24.717801,486,64,37,Assam
carousel,2024-12-06 22:30:24.718536,715,31,69,Gujarat
carousel,2024-12-06 22:30:24.723213,1008,113,59,Kerala
carousel,2024-12-06 22:30:24.724148,1412,112,58,Delhi
static_image,2024-12-06 22:30:24.726019,690,49,51,Rajasthan
carousel,2024-12-06 22:30:24.726201,430,59,48,Bihar
reel,2024-12-06 22:30:24.730668,1916,137,177,Uttar Pradesh
static_image,2024-12-06 22:30:24.731569,776,70,18,Telangana
reel,2024-12-06 22:30:24.740394,1021,98,52,Chhattisgarh
carousel,2024-12-07 02:22:24.689294,1087,121,56,Maharashtra
reel,2024-12-07 06:00:24.687631,1194,155,95,Maharashtra
static_image,2024-12-07 06:00:24.690137,297,65,19,Rajasthan
carousel,2024-12-07 06:00:24.690943,584,53,12,Tamil Nadu
reel,2024-12-07 06:00:24.691366,1412,188,206,Maharashtra
static_image,2024-12-07 06:00:24.695259,566,55,31,Punjab
static_image,2024-12-07 06:00:24.701414,331,40,23,Manipur
static_image,2024-12-07 06:00:24.705799,819,110,40,Delhi
reel,2024-12-07 06:00:24.714503,1730,174,89,Rajasthan
reel,2024-12-07 06:00:24.717734,1210,162,71,Karnataka
static_image,2024-12-07 06:00:24.718163,653,34,17,Delhi
reel,2024-12-07 06:00:24.722688,1276,117,60,Rajasthan
carousel,2024-12-07 06:00:24.731458,795,66,7,Kerala
reel,2024-12-07 06:00:24.731591,1193,94,71,Rajasthan
reel,2024-12-07 06:00:24.733175,1773,163,148,Karnataka
carousel,2024-12-07 06:00:24.733286,665,81,47,Karnataka
reel,2024-12-07 06:00:24.734500,1481,210,95,Tamil Nadu
reel,2024-12-07 06:00:24.737345,1511,190,137,Karnataka
reel,2024-12-07 06:00:24.737610,972,100,84,Rajasthan
static_image,2024-12-07 06:00:24.741599,349,39,29,Madhya Pradesh
reel,2024-12-07 06:00:24.742740,918,74,68,Tripura
static_image,2024-12-07 06:43:24.698382,453,68,42,Himachal Pradesh
static_image,2024-12-07 07:00:24.699702,380,25,34,Madhya Pradesh
carousel,2024-12-07 07:00:24.705642,606,114,45,Telangana
carousel,2024-12-07 07:00:24.717912,1192,161,84,Delhi
carousel,2024-12-07 07:00:24.719538,495,61,47,Andhra Pradesh
reel,2024-12-07 07:00:24.727045,591,65,63,Delhi
static_image,2024-12-07 07:00:24.727419,382,53,15,Madhya Pradesh
carousel,2024-12-07 07:00:24.729639,661,66,35,Goa
static_image,2024-12-07 07:00:24.729705,631,39,33,Uttar Pradesh
reel,2024-12-07 07:00:24.736426,1255,150,83,Maharashtra
static_image,2024-12-07 07:56:24.735051,641,39,50,West Bengal
reel,2024-12-07 08:23:24.687233,1419,71,87,West Bengal
reel,2024-12-07 09:19:24.736639,1305,139,99,Bihar
reel,2024-12-07 09:49:24.686301,1690,147,158,West Bengal
carousel,2024-12-07 10:00:24.694640,1012,50,32,Maharashtra
static_image,2024-12-07 10:59:24.690382,717,93,38,Uttar Pradesh
carousel,2024-12-07 12:01:24.696399,781,102,66,Sikkim
static_image,2024-12-07 15:00:24.686807,776,143,55,Jammu and Kashmir
carousel,2024-12-07 15:00:24.687491,1238,126,67,Karnataka
static_image,2024-12-07 15:00:24.690851,878,123,31,Rajasthan
static_image,2024-12-07 15:00:24.691188,775,95,68,Punjab
static_image,2024-12-07 15:00:24.698047,778,110,69,Punjab
carousel,2024-12-07 15:00:24.705997,1632,114,65,Delhi
static_image,2024-12-07 15:00:24.712529,921,89,49,West Bengal
static_image,2024-12-07 15:00:24.714731,657,83,64,Chhattisgarh
static_image,2024-12-07 15:00:24.722282,820,89,8,Haryana
reel,2024-12-07 15:00:24.727594,1030,109,58,Tripura
static_image,2024-12-07 15:00:24.727867,991,62,44,Meghalaya
static_image,2024-12-07 15:00:24.728191,1333,123,72,Uttar Pradesh
carousel,2024-12-07 15:00:24.730005,1000,59,85,Punjab
static_image,2024-12-07 15:00:24.730993,723,85,42,Tamil Nadu
static_image,2024-12-07 15:00:24.731745,841,43,48,Rajasthan
static_image,2024-12-07 15:00:24.742608,971,133,67,Maharashtra
static_image,2024-12-07 16:17:24.738296,705,20,39,Karnataka
reel,2024-12-07 17:12:24.722237,1257,122,75,Chhattisgarh
reel,2024-12-07 18:20:24.711033,1461,117,67,Andhra Pradesh
reel,2024-12-07 18:28:24.723950,1505,94,135,Delhi
carousel,2024-12-07 20:13:24.706328,797,96,41,Rajasthan
static_image,2024-12-07 20:30:24.687006,622,54,46,Madhya Pradesh
static_image,2024-12-07 20:30:24.694172,859,64,47,Maharashtra
static_image,2024-12-07 20:30:24.694401,1110,68,51,West Bengal
static_image,2024-12-07 20:30:24.698138,536,86,12,Telangana
static_image,2024-12-07 20:30:24.710012,592,66,31,Himachal Pradesh
reel,2024-12-07 20:30:24.711667,1846,162,171,Karnataka
reel,2024-12-07 20:30:24.714975,1275,177,85,Gujarat
reel,2024-12-07 20:30:24.716355,1544,151,79,Jharkhand
static_image,2024-12-07 20:30:24.719441,980,164,55,Maharashtra
reel,2024-12-07 20:30:24.725624,1938,270,135,Uttar Pradesh
reel,2024-12-07 20:30:24.731391,1320,121,121,Assam
static_image,2024-12-07 20:30:24.731833,695,55,38,Chhattisgarh
reel,2024-12-07 20:30:24.740218,2236,185,182,Telangana
reel,2024-12-07 20:30:24.740372,1837,209,90,Tamil Nadu
reel,2024-12-07 20:30:24.741376,2331,236,207,Maharashtra
static_image,2024-12-07 20:30:24.743844,1326,147,29,Maharashtra
carousel,2024-12-07 21:21:24.738077,668,95,38,Goa
static_image,2024-12-07 21:41:24.725733,543,56,35,Telangana
reel,2024-12-07 23:13:24.743137,1023,140,55,Meghalaya
static_image,2024-12-07 23:44:24.693228,520,59,23,Karnataka
static_image,2024-12-08 00:32:24.715797,473,46,39,Rajasthan
static_image,2024-12-08 00:58:24.710101,647,59,28,Maharashtra
reel,2024-12-08 01:59:24.704147,878,130,107,Tamil Nadu
static_image,2024-12-08 02:00:24.688490,591,52,37,Maharashtra
static_image,2024-12-08 02:00:24.693891,506,41,31,Telangana
reel,2024-12-08 02:00:24.696448,905,174,31,Madhya Pradesh
reel,2024-12-08 02:00:24.701904,1143,171,81,Maharashtra
reel,2024-12-08 02:00:24.714295,963,193,135,Tamil Nadu
carousel,2024-12-08 02:00:24.715863,411,19,34,West Bengal
carousel,2024-12-08 02:00:24.723661,1288,111,46,Telangana
static_image,2024-12-08 02:00:24.728257,541,64,30,Maharashtra
reel,2024-12-08 02:00:24.729981,1219,221,130,Haryana
static_image,2024-12-08 02:00:24.730600,973,52,64,Delhi
carousel,2024-12-08 02:00:24.736885,866,99,24,West Bengal
static_image,2024-12-08 02:11:24.732843,596,88,37,Uttar Pradesh
static_image,2024-12-08 03:17:24.711755,495,53,37,Uttar Pradesh
reel,2024-12-08 03:25:24.693074,1436,77,76,Telangana
carousel,2024-12-08 03:38:24.742915,810,135,57,Telangana
static_image,2024-12-08 04:07:24.690426,469,53,19,Assam
reel,2024-12-08 04:48:24.734456,872,74,103,West Bengal
static_image,2024-12-08 05:16:24.699307,725,74,43,Maharashtra
carousel,2024-12-08 09:17:24.699680,829,87,51,West Bengal
carousel,2024-12-08 10:23:24.707347,969,31,65,Tripura
reel,2024-12-08 10:28:24.710189,1325,118,77,Karnataka
static_image,2024-12-08 10:39:24.732887,694,28,34,Bihar
carousel,2024-12-08 11:00:24.737522,531,37,34,Rajasthan
static_image,2024-12-08 14:34:24.732332,778,51,41,Karnataka
